date,value
2025-05-09,80741
2025-05-10,14881
2025-05-11,1654
2025-05-12,39411
2025-05-13,91740
2025-05-14,3547
2025-05-15,17024
2025-05-16,99916
2025-05-17,16021
2025-05-18,59508
2025-05-19,64494
2025-05-20,66941
2025-05-21,1916
2025-05-22,16164
2025-05-23,34283
2025-05-24,68430
2025-05-25,999
2025-05-26,13253
2025-05-27,52028
2025-05-28,85901
2025-05-29,32108
2025-05-30,25235
2025-05-31,68194
2025-06-01,52396
2025-06-02,45306
2025-06-03,59474
2025-06-04,78612
2025-06-05,37837
2025-06-06,89050
2025-06-07,47199
2025-06-08,47194
2025-06-09,67427
2025-06-10,13663
2025-06-11,54910
2025-06-12,36558
2025-06-13,3788
2025-06-14,14243
2025-06-15,19594
2025-06-16,86395
2025-06-17,1378
2025-06-18,23092
2025-06-19,8492
2025-06-20,97396
2025-06-21,92653
2025-06-22,19749
2025-06-23,44817
2025-06-24,95045
2025-06-25,72159
2025-06-26,28286
2025-06-27,23515
2025-06-28,27005
2025-06-29,23293
2025-06-30,66367
2025-07-01,652
2025-07-02,30003
2025-07-03,70954
2025-07-04,29180
2025-07-05,38775
2025-07-06,62605
2025-07-07,506
2025-07-08,71695
2025-07-09,4707
2025-07-10,34876
2025-07-11,82665
2025-07-12,44504
2025-07-13,82288
2025-07-14,33716
2025-07-15,74246
2025-07-16,27301
2025-07-17,59989
2025-07-18,57057
2025-07-19,39553
2025-07-20,91206
2025-07-21,73139
2025-07-22,91527
2025-07-23,19536
2025-07-24,21881
2025-07-25,2321
2025-07-26,10736
2025-07-27,85811
2025-07-28,8463
2025-07-29,16881
2025-07-30,37513
2025-07-31,41769
2025-08-01,31954
2025-08-02,38698
2025-08-03,5716
2025-08-04,49639
2025-08-05,25585
2025-08-06,45744
2025-08-07,43831
2025-08-08,85310
2025-08-09,34414
2025-08-10,29681
2025-08-11,17610
2025-08-12,2909
2025-08-13,90721
2025-08-14,77654
2025-08-15,19251
2025-08-16,55232
2025-08-17,1588
2025-08-18,72369
2025-08-19,49337
2025-08-20,12549
2025-08-21,70218
2025-08-22,77926
2025-08-23,11028
2025-08-24,92883
2025-08-25,87028
2025-08-26,59860
2025-08-27,30416
2025-08-28,56709
2025-08-29,16913
2025-08-30,38960
2025-08-31,46959
2025-09-01,59334
2025-09-02,25738
2025-09-03,79416
2025-09-04,5053
2025-09-05,30748
2025-09-06,51441
2025-09-07,98195
2025-09-08,58336
2025-09-09,72323
2025-09-10,13816
2025-09-11,24761
2025-09-12,10510
2025-09-13,53494
2025-09-14,23124
2025-09-15,77499
2025-09-16,33676
2025-09-17,46671
2025-09-18,4197
2025-09-19,54056
2025-09-20,26091
2025-09-21,47377
2025-09-22,94407
2025-09-23,31490
2025-09-24,8933
2025-09-25,15308
2025-09-26,58227
2025-09-27,22935
2025-09-28,87523
2025-09-29,8801
2025-09-30,90269
2025-10-01,60564
2025-10-02,64089
2025-10-03,68329
2025-10-04,19125
2025-10-05,30723
2025-10-06,94095
2025-10-07,75040
2025-10-08,69762
2025-10-09,11242
2025-10-10,85672
2025-10-11,36031
2025-10-12,43661
2025-10-13,36339
2025-10-14,40436
2025-10-15,92157
2025-10-16,16528
2025-10-17,75075
2025-10-18,14486
2025-10-19,95617
2025-10-20,14739
2025-10-21,93712
2025-10-22,77974
2025-10-23,46696
2025-10-24,76720
2025-10-25,8383
2025-10-26,57619
2025-10-27,99269
2025-10-28,97594
2025-10-29,52938
2025-10-30,52427
2025-10-31,49297
2025-11-01,6034
2025-11-02,22215
2025-11-03,62885
2025-11-04,12532
2025-11-05,92203
